options;jvm;benchmark;pvalues;utests;effectsize
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;sunflow;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;sunflow;0.7928955031789606;35.0;0.453125
 -Xjit:count=10;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;sunflow;0.31842506670681614;22.0;0.65625
 -Xjit:count=0;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;als;0.10356187117653398;48.0;0.25
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;als;0.023948674879759435;10.0;0.84375
 -XcompilationThreads3;15.0.1.j9-adpt;als;0.08312293695990333;15.0;0.765625
 -Xjit:optlevel=warm;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;als;0.27014853272850603;43.0;0.328125
 -Xjit:count=1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;dotty;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;dotty;0.8748259769492438;34.0;0.46875
 -XcompilationThreads3;15.0.1.j9-adpt;dotty;0.05202961762222518;13.0;0.796875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;dotty;0.0009391056991171899;64.0;0.0
 -Xjit:count=1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;neo4j;0.22714668182201503;20.0;0.6875
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;neo4j;0.10356187117653398;16.0;0.75
 -XcompilationThreads3;15.0.1.j9-adpt;neo4j;0.040568855795782656;12.0;0.8125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;reactors;0.004577922357685606;53.0;0.05357142857142857
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;reactors;0.713191261016072;28.0;0.5625
 -XcompilationThreads7;15.0.1.j9-adpt;reactors;0.49483653811309736;39.0;0.390625
 -XcompilationThreads3;15.0.1.j9-adpt;reactors;0.6365024869138661;37.0;0.421875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;reactors;0.009217797347054926;5.0;0.9107142857142857
 -Xjit:count=1;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;scrabble;0.5229032345126707;19.0;0.6122448979591837
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;scrabble;0.02984206441795427;7.0;0.8571428571428571
 -XcompilationThreads3;15.0.1.j9-adpt;scrabble;0.07363827012030266;10.0;0.7959183673469388
 -Xjit:optlevel=warm;15.0.1.j9-adpt;scrabble;0.010603345382122658;4.0;0.9183673469387755
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;scrabble;0.021450733686322068;6.0;0.8775510204081632
 -Xjit:optlevel=hot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;scrabble;0.015193609977460219;5.0;0.8979591836734694
 -Xjit:count=1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;fj-kmeans;0.8983267872692382;23.0;0.5306122448979592
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;fj-kmeans;0.701478108866614;28.0;0.42857142857142855
 -XcompilationThreads7;15.0.1.j9-adpt;fj-kmeans;0.25015300795938233;34.0;0.30612244897959184
 -XcompilationThreads3;15.0.1.j9-adpt;fj-kmeans;0.37109336952269756;32.0;0.3469387755102041
 -Xjit:optlevel=warm;15.0.1.j9-adpt;fj-kmeans;0.00493790547090731;47.0;0.04081632653061224
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;fj-kmeans;0.2013364852874009;35.0;0.2857142857142857
 -Xjit:count=1;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;avrora;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;avrora;0.3720293385704434;41.0;0.359375
 -XX:TieredStopAtLevel=4;15.0.1-open;avrora;0.43089704373626736;40.0;0.375
 -XX:TieredStopAtLevel=3;15.0.1-open;avrora;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;avrora;0.8748259769492438;34.0;0.46875
 -XX:-TieredCompilation;15.0.1-open;avrora;0.27014853272850603;43.0;0.328125
 -XX:TieredStopAtLevel=1;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;h2;0.031324130877889995;53.0;0.171875
 -XX:TieredStopAtLevel=4;15.0.1-open;h2;0.06608191591670358;50.0;0.21875
 -XX:TieredStopAtLevel=3;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;h2;0.010081693883859663;7.0;0.890625
 -XX:TieredStopAtLevel=1;15.0.1-open;pmd;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;pmd;0.713191261016072;28.0;0.5625
