options;jvm;benchmark;pvalues;utests;effectsize
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;sunflow;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;sunflow;0.563523716477718;38.0;0.40625
 -Xjit:count=10;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;sunflow;0.22714668182201503;20.0;0.6875
 -Xjit:count=0;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;als;0.9581219265777428;32.0;0.5
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;als;0.023948674879759435;10.0;0.84375
 -XcompilationThreads3;15.0.1.j9-adpt;als;0.06608191591670358;14.0;0.78125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;als;0.563523716477718;26.0;0.59375
 -Xjit:count=1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;dotty;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;dotty;0.713191261016072;36.0;0.4375
 -XcompilationThreads3;15.0.1.j9-adpt;dotty;0.31842506670681614;22.0;0.65625
 -Xjit:optlevel=warm;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;dotty;0.01358727306399339;56.0;0.125
 -Xjit:count=1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;neo4j;0.08312293695990333;15.0;0.765625
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;neo4j;0.10356187117653398;16.0;0.75
 -XcompilationThreads3;15.0.1.j9-adpt;neo4j;0.040568855795782656;12.0;0.8125
 -Xjit:optlevel=warm;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;reactors;0.006536161174242675;52.0;0.07142857142857142
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;reactors;0.6365024869138661;37.0;0.421875
 -XcompilationThreads7;15.0.1.j9-adpt;reactors;0.563523716477718;38.0;0.40625
 -XcompilationThreads3;15.0.1.j9-adpt;reactors;0.49483653811309736;39.0;0.390625
 -Xjit:optlevel=warm;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;reactors;0.009217797347054926;5.0;0.9107142857142857
 -Xjit:count=1;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;scrabble;0.37109336952269756;17.0;0.6530612244897959
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;scrabble;0.02984206441795427;7.0;0.8571428571428571
 -XcompilationThreads3;15.0.1.j9-adpt;scrabble;0.07363827012030266;10.0;0.7959183673469388
 -Xjit:optlevel=warm;15.0.1.j9-adpt;scrabble;0.007290358091535638;3.0;0.9387755102040817
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;scrabble;0.015193609977460219;5.0;0.8979591836734694
 -Xjit:optlevel=hot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;scrabble;0.010603345382122658;4.0;0.9183673469387755
 -Xjit:count=1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;fj-kmeans;0.8983267872692382;23.0;0.5306122448979592
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;fj-kmeans;0.6092801593041028;20.0;0.5918367346938775
 -XcompilationThreads7;15.0.1.j9-adpt;fj-kmeans;0.09669756761763616;38.0;0.22448979591836735
 -XcompilationThreads3;15.0.1.j9-adpt;fj-kmeans;0.12520102961031548;37.0;0.24489795918367346
 -Xjit:optlevel=warm;15.0.1.j9-adpt;fj-kmeans;0.015193609977460219;44.0;0.10204081632653061
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;fj-kmeans;0.7982978473285264;27.0;0.4489795918367347
 -Xjit:count=1;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;avrora;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;avrora;0.31842506670681614;42.0;0.34375
 -XX:TieredStopAtLevel=4;15.0.1-open;avrora;0.3720293385704434;41.0;0.359375
 -XX:TieredStopAtLevel=3;15.0.1-open;avrora;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;avrora;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;avrora;0.27014853272850603;43.0;0.328125
 -XX:TieredStopAtLevel=1;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;h2;0.031324130877889995;53.0;0.171875
 -XX:TieredStopAtLevel=4;15.0.1-open;h2;0.023948674879759435;54.0;0.15625
 -XX:TieredStopAtLevel=3;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;h2;0.018129007864971982;9.0;0.859375
 -XX:TieredStopAtLevel=1;15.0.1-open;pmd;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;pmd;0.3720293385704434;23.0;0.640625
