options;jvm;benchmark;pvalues;utests;effectsize
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;sunflow;0.0009391056991171899;64.0;0.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;sunflow;0.12780760094754465;17.0;0.734375
 -Xjit:count=10;15.0.1.j9-adpt;sunflow;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;sunflow;0.05202961762222518;13.0;0.796875
 -Xjit:count=0;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;als;0.007405533340500268;6.0;0.90625
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;als;0.040568855795782656;12.0;0.8125
 -XcompilationThreads3;15.0.1.j9-adpt;als;0.018129007864971982;9.0;0.859375
 -Xjit:optlevel=warm;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;als;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;dotty;0.22714668182201503;44.0;0.3125
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;dotty;0.8748259769492438;34.0;0.46875
 -XcompilationThreads3;15.0.1.j9-adpt;dotty;0.10356187117653398;16.0;0.75
 -Xjit:optlevel=warm;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;dotty;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;dotty;0.0009391056991171899;64.0;0.0
 -Xjit:count=0;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;neo4j;0.0013593755271592322;1.0;0.984375
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;neo4j;0.10356187117653398;16.0;0.75
 -XcompilationThreads3;15.0.1.j9-adpt;neo4j;0.005384940000147031;5.0;0.921875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;neo4j;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=1;15.0.1.j9-adpt;neo4j;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;reactors;0.024027671425442047;48.0;0.14285714285714285
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;reactors;0.713191261016072;28.0;0.5625
 -XcompilationThreads7;15.0.1.j9-adpt;reactors;0.8748259769492438;34.0;0.46875
 -XcompilationThreads3;15.0.1.j9-adpt;reactors;0.8748259769492438;34.0;0.46875
 -Xjit:optlevel=warm;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;reactors;0.0014600619162422478;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;reactors;0.024027671425442047;8.0;0.8571428571428571
 -Xjit:count=1;15.0.1.j9-adpt;reactors;0.0009391056991171899;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;scrabble;0.1598641975479732;13.0;0.7346938775510204
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -XcompilationThreads7;15.0.1.j9-adpt;scrabble;0.05528499271702408;9.0;0.8163265306122449
 -XcompilationThreads3;15.0.1.j9-adpt;scrabble;0.021450733686322068;6.0;0.8775510204081632
 -Xjit:optlevel=warm;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;scrabble;0.00493790547090731;2.0;0.9591836734693877
 -Xjit:optlevel=hot;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;scrabble;0.00493790547090731;2.0;0.9591836734693877
 -Xjit:count=1;15.0.1.j9-adpt;scrabble;0.002165029333038379;0.0;1.0
 -Xjit:count=0;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=100;15.0.1.j9-adpt;fj-kmeans;0.5229032345126707;19.0;0.6122448979591837
 -Xjit:optlevel=scorching;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XcompilationThreads1;15.0.1.j9-adpt;fj-kmeans;0.09669756761763616;11.0;0.7755102040816326
 -XcompilationThreads7;15.0.1.j9-adpt;fj-kmeans;0.25015300795938233;34.0;0.30612244897959184
 -XcompilationThreads3;15.0.1.j9-adpt;fj-kmeans;0.37109336952269756;32.0;0.3469387755102041
 -Xjit:optlevel=warm;15.0.1.j9-adpt;fj-kmeans;0.05528499271702408;40.0;0.1836734693877551
 -Xjit:optlevel=veryhot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=cold;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:optlevel=hot;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -Xjit:count=10;15.0.1.j9-adpt;fj-kmeans;0.010603345382122658;4.0;0.9183673469387755
 -Xjit:count=1;15.0.1.j9-adpt;fj-kmeans;0.002165029333038379;0.0;1.0
 -XX:TieredStopAtLevel=1;15.0.1-open;avrora;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;avrora;0.31842506670681614;42.0;0.34375
 -XX:TieredStopAtLevel=4;15.0.1-open;avrora;0.27014853272850603;43.0;0.328125
 -XX:TieredStopAtLevel=3;15.0.1-open;avrora;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;avrora;0.18926296331502546;19.0;0.703125
 -XX:-TieredCompilation;15.0.1-open;avrora;0.18926296331502546;45.0;0.296875
 -XX:TieredStopAtLevel=1;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;h2;0.007405533340500268;58.0;0.09375
 -XX:TieredStopAtLevel=4;15.0.1-open;h2;0.00387604144899475;60.0;0.0625
 -XX:TieredStopAtLevel=3;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:TieredStopAtLevel=2;15.0.1-open;h2;0.0009391056991171899;0.0;1.0
 -XX:-TieredCompilation;15.0.1-open;h2;0.22714668182201503;20.0;0.6875
 -XX:TieredStopAtLevel=1;15.0.1-open;pmd;0.0009391056991171899;64.0;0.0
 -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;15.0.1-open;pmd;0.18926296331502546;19.0;0.703125
