benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
lusearch;OPEN;ParallelOldGC;1;3275433.132;227360000.0;51780000.0;0
lusearch;OPEN;SerialGC;1;3599599.4039999996;250180000.0;57030000.0;0
lusearch;OPEN;Epsilon;1;3869090.111;248960000.0;57950000.0;0
lusearch-fix;Graal;default;1;3242790.752;199220000.0;47460000.0;0
lusearch-fix;Graal;G1;1;3401432.924;201110000.0;49350000.0;0
lusearch-fix;Graal;5Parallel;1;3171028.596000001;192400000.0;46770000.0;0
lusearch-fix;Graal;5Concurent;1;3000177.3690000004;175440000.0;42660000.0;0
lusearch-fix;Graal;1Parallel;1;3271603.5919999997;205340000.0;48920000.0;0
lusearch-fix;Graal;1Concurent;1;3092766.111;192890000.0;46140000.0;0
lusearch-fix;Graal;DisableExplicitGC;1;3308899.599;200120000.0;48570000.0;0
lusearch-fix;Graal;ParallelCG;1;3036249.044;187570000.0;45090000.0;0
lusearch-fix;Graal;ParallelOldGC;1;3142597.6750000007;191030000.0;46230000.0;0
lusearch-fix;J9;default;1;3522039.954;205550000.0;43270000.0;0
lusearch-fix;J9;ConcurrentScavenge;1;3402624.738;213070000.0;45120000.0;0
lusearch-fix;J9;ScvNoAdaptiveTenure;1;3927501.902;221580000.0;46920000.0;0
lusearch-fix;J9;Balanced;1;4324364.852999999;267610000.0;55620000.0;0
lusearch-fix;J9;Gencon;1;3423516.5160000003;201460000.0;42250000.0;0
lusearch-fix;J9;Metronome;1;3702770.0689999997;226230000.0;47550000.0;0
lusearch-fix;J9;Nogc;1;3425846.963;204270000.0;42260000.0;0
lusearch-fix;J9;Optavgpause;1;4012602.457;215790000.0;50070000.0;0
lusearch-fix;J9;Optthruput;1;3736059.814;229090000.0;46800000.0;0
lusearch-fix;OPEN;default;1;3398449.670000001;231000000.0;54570000.0;0
lusearch-fix;OPEN;G1;1;3468084.985;243360000.0;54990000.0;0
lusearch-fix;OPEN;5Parallel;1;3286107.8619999997;218300000.0;51010000.0;0
lusearch-fix;OPEN;5Concurent;1;4101632.3210000005;284870000.0;64360000.0;0
lusearch-fix;OPEN;1Parallel;1;3552625.5239999997;239310000.0;55470000.0;0
lusearch-fix;OPEN;1Concurent;1;3493036.999000001;245290000.0;57500000.0;0
lusearch-fix;OPEN;DisableExplicitGC;1;3749318.2810000004;255550000.0;57470000.0;0
lusearch-fix;OPEN;ParallelCG;1;4310718.705;305610000.0;69210000.0;0
lusearch-fix;OPEN;ParallelOldGC;1;3482649.334;217270000.0;50470000.0;0
lusearch-fix;OPEN;SerialGC;1;3686090.977;257770000.0;58460000.0;0
lusearch-fix;OPEN;Epsilon;1;3520423.433;217230000.0;51460000.0;0
pmd;Graal;default;1;4618599.664000001;279180000.0;66019999.99999999;0
pmd;Graal;G1;1;4778387.345;288550000.0;67810000.0;0
pmd;Graal;5Parallel;1;4561857.998;278910000.0;66069999.99999999;0
pmd;Graal;5Concurent;1;4750066.058;282900000.0;66690000.0;0
pmd;Graal;1Parallel;1;5093465.692;307110000.0;72940000.0;0
pmd;Graal;1Concurent;1;4760595.9750000015;283340000.0;67410000.0;0
pmd;Graal;DisableExplicitGC;1;4719886.002;288640000.0;68550000.0;0
pmd;Graal;ParallelCG;1;4663741.723;281160000.0;65769999.99999999;0
pmd;Graal;ParallelOldGC;1;4606708.871;282190000.0;65400000.00000001;0
pmd;J9;default;1;4218153.824;239820000.0;52030000.0;0
pmd;J9;ConcurrentScavenge;1;4000673.39;229430000.0;50040000.0;0
pmd;J9;ScvNoAdaptiveTenure;1;3964015.75;219550000.0;48880000.0;0
pmd;J9;Balanced;1;4275751.973999999;244210000.0;53920000.0;0
pmd;J9;Gencon;1;4140151.79;228610000.0;51710000.0;0
pmd;J9;Metronome;1;4341993.448;234950000.0;54340000.0;0
pmd;J9;Nogc;1;3997515.149;218200000.0;48860000.0;0
pmd;J9;Optavgpause;1;4627659.534;245670000.0;58190000.0;0
pmd;J9;Optthruput;1;4257499.2360000005;236980000.0;53000000.0;0
pmd;OPEN;default;1;4692356.761;313930000.0;72970000.0;0
pmd;OPEN;G1;1;4664950.423;310070000.0;71130000.0;0
pmd;OPEN;5Parallel;1;4739113.5770000005;316930000.0;73410000.0;0
