options;jvm;benchmark;pvalues;utests;effectsize
1Parallel;Graal;neo4j;0.012185780355344813;0.0;1.0
5Parallel;Graal;philosopher;0.2962698714842864;7.0;0.72
DisableExplicitGC;Graal;philosopher;0.5308693039685082;9.0;0.64
ParallelCG;Graal;philosopher;0.9165626446795413;11.5;0.54
ParallelOldGC;Graal;philosopher;0.06010280593886631;22.0;0.12
1Concurent;Graal;philosopher;0.4033953048926283;8.0;0.68
5Concurent;Graal;philosopher;0.6761033140231469;10.0;0.6
G1;Graal;philosopher;1.0;12.0;0.52
1Parallel;Graal;philosopher;1.0;13.0;0.48
5Parallel;Graal;reactors;0.5308693039685082;9.0;0.64
DisableExplicitGC;Graal;reactors;1.0;12.0;0.52
ParallelCG;Graal;reactors;0.02157174794772092;24.0;0.04
ParallelOldGC;Graal;reactors;0.02157174794772092;24.0;0.04
1Concurent;Graal;reactors;0.8345316227109287;11.0;0.56
5Concurent;Graal;reactors;0.6761033140231469;10.0;0.6
G1;Graal;reactors;0.4033953048926283;17.0;0.32
1Parallel;Graal;reactors;0.09469294259947589;4.0;0.84
5Parallel;Graal;scrabble;0.11235119769046385;2.0;0.875
DisableExplicitGC;Graal;scrabble;0.312321421676216;12.0;0.25
ParallelCG;Graal;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;Graal;scrabble;0.03038282197657749;0.0;1.0
1Concurent;Graal;scrabble;0.7715034091403082;9.5;0.40625
5Concurent;Graal;scrabble;0.8852339144732015;9.0;0.4375
G1;Graal;scrabble;0.8852339144732015;8.0;0.5
1Parallel;Graal;scrabble;0.03038282197657749;0.0;1.0
Optthruput;J9;avrora;0.2413312422264482;72.0;0.6326530612244898
ScvNoAdaptiveTenure;J9;avrora;0.8722376297868121;102.0;0.47959183673469385
Metronome;J9;avrora;0.565733686277663;85.0;0.5663265306122449
Gencon;J9;avrora;0.3953072503151053;79.0;0.5969387755102041
Balanced;J9;avrora;0.836193734822461;103.0;0.4744897959183674
Nogc;J9;avrora;0.6961259862240039;107.0;0.45408163265306123
ConcurrentScavenge;J9;avrora;0.44836913851604354;81.0;0.5867346938775511
Optavgpause;J9;avrora;0.1981949948125351;69.5;0.6454081632653061
Optthruput;J9;h2;0.004528632847483338;32.0;0.8241758241758241
ScvNoAdaptiveTenure;J9;h2;0.2413312422264482;72.0;0.6326530612244898
Metronome;J9;h2;1.1251058071805495e-05;0.0;1.0
Gencon;J9;h2;0.9816711400706458;97.0;0.5051020408163265
Balanced;J9;h2;0.00010335443679223984;13.0;0.9336734693877551
Nogc;J9;h2;0.0007447068863459888;21.0;0.8846153846153846
ConcurrentScavenge;J9;h2;8.546788222763544e-05;12.0;0.9387755102040817
Optavgpause;J9;h2;0.055265471871115364;51.0;0.7197802197802198
Optthruput;J9;lusearch;1.6496665061862602e-05;0.0;1.0
ScvNoAdaptiveTenure;J9;lusearch;0.7583164735262904;91.0;0.46153846153846156
Metronome;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Gencon;J9;lusearch;0.837444558447516;89.0;0.47337278106508873
Balanced;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch;0.0003310033932457685;14.0;0.9171597633136095
ConcurrentScavenge;J9;lusearch;0.011977025352235849;35.0;0.7928994082840237
Optavgpause;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;lusearch-fix;2.077353660397198e-05;1.0;0.9940828402366864
ScvNoAdaptiveTenure;J9;lusearch-fix;0.018325521931295465;38.0;0.7751479289940828
Metronome;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Gencon;J9;lusearch-fix;0.05442911421860005;46.5;0.7248520710059172
Balanced;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch-fix;0.01594131251480136;37.0;0.7810650887573964
ConcurrentScavenge;J9;lusearch-fix;0.0034547952115910963;27.0;0.8402366863905325
Optavgpause;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;pmd;0.4727889073230682;70.0;0.5857988165680473
ScvNoAdaptiveTenure;J9;pmd;0.08123065302087974;119.0;0.2958579881656805
Metronome;J9;pmd;0.0003310033932457685;14.0;0.9171597633136095
Gencon;J9;pmd;0.7976340690559742;90.0;0.46745562130177515
Balanced;J9;pmd;0.06486987027995908;48.0;0.7159763313609467
Nogc;J9;pmd;0.03125223885693879;127.0;0.2485207100591716
ConcurrentScavenge;J9;pmd;0.3833202927297332;102.0;0.39644970414201186
Optavgpause;J9;pmd;1.6496665061862602e-05;0.0;1.0
Optthruput;J9;sunflow;5.093776013512916e-05;164.0;0.029585798816568046
ScvNoAdaptiveTenure;J9;sunflow;0.3694045217913803;66.5;0.606508875739645
Metronome;J9;sunflow;1.6441834719135152e-05;169.0;0.0
Gencon;J9;sunflow;0.3559671197337311;66.0;0.6094674556213018
Balanced;J9;sunflow;0.4416782652304888;69.0;0.591715976331361
Nogc;J9;sunflow;0.04023948736613397;125.0;0.2603550295857988
ConcurrentScavenge;J9;sunflow;0.008912702937838354;33.0;0.8047337278106509
Optavgpause;J9;sunflow;0.07267412867689323;120.0;0.28994082840236685
Optthruput;J9;als;0.2962698714842864;18.0;0.28
ScvNoAdaptiveTenure;J9;als;0.012185780355344813;0.0;1.0
Metronome;J9;als;0.012185780355344813;25.0;0.0
Gencon;J9;als;0.2100750407866585;6.0;0.76
Balanced;J9;als;0.012185780355344813;0.0;1.0
Nogc;J9;als;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;als;0.012185780355344813;0.0;1.0
Optavgpause;J9;als;0.012185780355344813;0.0;1.0
Optthruput;J9;dotty;0.5308693039685082;16.0;0.36
ScvNoAdaptiveTenure;J9;dotty;0.4033953048926283;8.0;0.68
Metronome;J9;dotty;0.012185780355344813;0.0;1.0
Gencon;J9;dotty;0.2962698714842864;7.0;0.72
Balanced;J9;dotty;0.012185780355344813;0.0;1.0
Nogc;J9;dotty;0.14367208180696023;5.0;0.8
ConcurrentScavenge;J9;dotty;0.012185780355344813;0.0;1.0
Optavgpause;J9;dotty;0.012185780355344813;0.0;1.0
Optthruput;J9;fj-kmeans;0.5308693039685082;16.0;0.36
ScvNoAdaptiveTenure;J9;fj-kmeans;0.8345316227109287;14.0;0.44
Metronome;J9;fj-kmeans;0.4033953048926283;8.0;0.68
Gencon;J9;fj-kmeans;1.0;12.0;0.52
Balanced;J9;fj-kmeans;1.0;13.0;0.48
Nogc;J9;fj-kmeans;0.4033953048926283;17.0;0.32
ConcurrentScavenge;J9;fj-kmeans;1.0;12.0;0.52
Optavgpause;J9;fj-kmeans;0.6761033140231469;15.0;0.4
Optthruput;J9;neo4j;1.0;12.0;0.52
ScvNoAdaptiveTenure;J9;neo4j;0.012185780355344813;0.0;1.0
Metronome;J9;neo4j;0.012185780355344813;0.0;1.0
Gencon;J9;neo4j;0.6761033140231469;10.0;0.6
Balanced;J9;neo4j;0.012185780355344813;0.0;1.0
Nogc;J9;neo4j;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;neo4j;0.012185780355344813;0.0;1.0
Optavgpause;J9;neo4j;0.012185780355344813;0.0;1.0
Optthruput;J9;philosopher;0.2962698714842864;7.0;0.72
ScvNoAdaptiveTenure;J9;philosopher;0.8345316227109287;11.0;0.56
Metronome;J9;philosopher;0.06010280593886631;3.0;0.88
Gencon;J9;philosopher;0.4033953048926283;17.0;0.32
Balanced;J9;philosopher;0.09469294259947589;4.0;0.84
Nogc;J9;philosopher;0.8345316227109287;11.0;0.56
ConcurrentScavenge;J9;philosopher;0.4033953048926283;8.0;0.68
Optavgpause;J9;philosopher;0.09469294259947589;21.0;0.16
Optthruput;J9;reactors;0.11134688653314041;17.0;0.15
ScvNoAdaptiveTenure;J9;reactors;0.019964453305216043;0.0;1.0
Metronome;J9;reactors;0.019964453305216043;0.0;1.0
Gencon;J9;reactors;0.9025232501776794;9.0;0.55
Balanced;J9;reactors;0.019964453305216043;0.0;1.0
Nogc;J9;reactors;0.019964453305216043;20.0;0.0
ConcurrentScavenge;J9;reactors;0.9025232501776794;9.0;0.55
Optavgpause;J9;reactors;0.03733641592066288;1.0;0.95
Optthruput;J9;scrabble;0.1939308522824107;3.0;0.8125
ScvNoAdaptiveTenure;J9;scrabble;0.6631172453203822;6.0;0.625
Metronome;J9;scrabble;0.03038282197657749;0.0;1.0
Gencon;J9;scrabble;0.8852339144732015;7.0;0.5625
Balanced;J9;scrabble;0.11235119769046385;2.0;0.875
Nogc;J9;scrabble;0.03038282197657749;0.0;1.0
ConcurrentScavenge;J9;scrabble;0.1939308522824107;3.0;0.8125
Optavgpause;J9;scrabble;0.03038282197657749;0.0;1.0
5Parallel;OPEN;avrora;0.032633216065285;51.0;0.7397959183673469
DisableExplicitGC;OPEN;avrora;0.7651995408617962;105.0;0.4642857142857143
ParallelCG;OPEN;avrora;0.9085487981709219;101.0;0.4846938775510204
ParallelOldGC;OPEN;avrora;0.8722376297868121;94.0;0.5204081632653061
1Concurent;OPEN;avrora;0.2413312422264482;72.0;0.6326530612244898
SerialGC;OPEN;avrora;0.3232138110799865;76.0;0.6122448979591837
5Concurent;OPEN;avrora;0.565733686277663;85.0;0.5663265306122449
G1;OPEN;avrora;0.9450520886884962;96.0;0.5102040816326531
Epsilon;OPEN;avrora;0.045638215804428645;142.0;0.2755102040816326
1Parallel;OPEN;avrora;0.7303893910726622;90.0;0.5408163265306123
5Parallel;OPEN;h2;0.4727889073230682;99.0;0.41420118343195267
DisableExplicitGC;OPEN;h2;0.4727889073230682;70.0;0.5857988165680473
