options;jvm;benchmark;pvalues;utests;effectsize
1Parallel;Graal;neo4j;0.012185780355344813;0.0;1.0
5Parallel;Graal;philosopher;0.6761033140231469;10.0;0.6
DisableExplicitGC;Graal;philosopher;1.0;12.0;0.52
ParallelCG;Graal;philosopher;0.9165626446795413;11.5;0.54
ParallelOldGC;Graal;philosopher;0.06010280593886631;22.0;0.12
1Concurent;Graal;philosopher;0.8345316227109287;14.0;0.44
5Concurent;Graal;philosopher;0.8345316227109287;14.0;0.44
G1;Graal;philosopher;1.0;12.0;0.52
1Parallel;Graal;philosopher;0.8345316227109287;14.0;0.44
5Parallel;Graal;reactors;0.5308693039685082;9.0;0.64
DisableExplicitGC;Graal;reactors;0.6761033140231469;10.0;0.6
ParallelCG;Graal;reactors;0.02157174794772092;24.0;0.04
ParallelOldGC;Graal;reactors;0.012185780355344813;25.0;0.0
1Concurent;Graal;reactors;1.0;12.0;0.52
5Concurent;Graal;reactors;0.5308693039685082;9.0;0.64
G1;Graal;reactors;0.4033953048926283;17.0;0.32
1Parallel;Graal;reactors;0.14367208180696023;5.0;0.8
5Parallel;Graal;scrabble;0.11235119769046385;2.0;0.875
DisableExplicitGC;Graal;scrabble;0.312321421676216;12.0;0.25
ParallelCG;Graal;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;Graal;scrabble;0.03038282197657749;0.0;1.0
1Concurent;Graal;scrabble;0.8852339144732015;8.0;0.5
5Concurent;Graal;scrabble;0.8852339144732015;9.0;0.4375
G1;Graal;scrabble;0.8852339144732015;9.0;0.4375
1Parallel;Graal;scrabble;0.03038282197657749;0.0;1.0
Optthruput;J9;avrora;0.2413312422264482;72.0;0.6326530612244898
ScvNoAdaptiveTenure;J9;avrora;0.8004905884098723;92.0;0.5306122448979592
Metronome;J9;avrora;0.5052568397470112;83.0;0.576530612244898
Gencon;J9;avrora;0.19036203113302852;69.0;0.6479591836734694
Balanced;J9;avrora;0.5972229027923646;110.0;0.4387755102040816
Nogc;J9;avrora;0.8722376297868121;102.0;0.47959183673469385
ConcurrentScavenge;J9;avrora;0.2802443990324548;74.0;0.6224489795918368
Optavgpause;J9;avrora;0.370263572547471;78.0;0.6020408163265306
Optthruput;J9;h2;0.13886048069881382;60.0;0.6703296703296703
ScvNoAdaptiveTenure;J9;h2;0.10286022472686691;62.0;0.6836734693877551
Metronome;J9;h2;1.1251058071805495e-05;0.0;1.0
Gencon;J9;h2;0.3953072503151053;117.0;0.4030612244897959
Balanced;J9;h2;0.0016472037920134623;29.0;0.8520408163265306
Nogc;J9;h2;0.03081805822921548;46.0;0.7472527472527473
ConcurrentScavenge;J9;h2;0.000522302541171555;22.0;0.8877551020408163
Optavgpause;J9;h2;0.29680362529706983;69.0;0.6208791208791209
Optthruput;J9;lusearch;1.6496665061862602e-05;0.0;1.0
ScvNoAdaptiveTenure;J9;lusearch;0.6080768794659228;74.0;0.5621301775147929
Metronome;J9;lusearch;1.6441834719135152e-05;0.0;1.0
Gencon;J9;lusearch;0.8374719604535413;80.0;0.5266272189349113
Balanced;J9;lusearch;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch;4.085965995779528e-05;4.0;0.9763313609467456
ConcurrentScavenge;J9;lusearch;0.0014753589570141526;22.0;0.8698224852071006
Optavgpause;J9;lusearch;9.721654366930001e-05;8.0;0.9526627218934911
Optthruput;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
ScvNoAdaptiveTenure;J9;lusearch-fix;0.012860657215850774;35.5;0.7899408284023669
Metronome;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Gencon;J9;lusearch-fix;0.024044949905367985;40.0;0.7633136094674556
Balanced;J9;lusearch-fix;1.6496665061862602e-05;0.0;1.0
Nogc;J9;lusearch-fix;0.001234575724641128;21.0;0.8757396449704142
ConcurrentScavenge;J9;lusearch-fix;0.00018140976675221646;11.0;0.9349112426035503
Optavgpause;J9;lusearch-fix;0.00013282217190377035;9.5;0.9437869822485208
Optthruput;J9;pmd;0.8777310415017161;81.0;0.5207100591715976
ScvNoAdaptiveTenure;J9;pmd;0.13696741226229456;114.0;0.3254437869822485
Metronome;J9;pmd;0.022463288963780973;39.5;0.7662721893491125
Gencon;J9;pmd;0.57268433313998;96.0;0.4319526627218935
