benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
sunflow;15.0.1.j9-adpt; -XcompilationThreads7;1;0;6047790;89822903;423806471
sunflow;15.0.1.j9-adpt; -Xjit:count=0;1;0;18189982;246563906;917568513
sunflow;15.0.1.j9-adpt; -Xjit:count=1;1;0;6975667;102173736;521883858
sunflow;15.0.1.j9-adpt; -Xjit:count=10;1;0;7542382;116941450;573878597
sunflow;15.0.1.j9-adpt; -Xjit:count=100;1;0;9322076;145389841;739441161
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;5354033;74917627;373290548
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;4951021;69129272;337341666
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;6438184;93322610;495916822
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;14396895;201859158;1362738027
sunflow;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;16798445;234278772;1638437518
sunflow;15.0.1-open;default;1;0;4700414;71181920;336429070
sunflow;15.0.1-open; -XX:-TieredCompilation;1;0;5453523;84564186;404325320
sunflow;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;3881319;54420585;265096978
sunflow;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;4540921;69742464;317133099
sunflow;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;4671261;70581088;325485740
als;20.2.0.r11-grl;default;1;0;45574655;665984076;2853098837
als;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;48690204;700530420;3126352470
als;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;71465225;1004811971;4483000364
als;15.0.1.j9-adpt;default;1;0;58859207;835184573;3788157050
als;15.0.1.j9-adpt; -XcompilationThreads1;1;0;66340864;938216533;4263598705
als;15.0.1.j9-adpt; -XcompilationThreads3;1;0;59560478;847625325;3832914566
als;15.0.1.j9-adpt; -XcompilationThreads7;1;0;59393743;844749673;3778853119
als;15.0.1.j9-adpt; -Xjit:count=0;1;0;148475493;2025651471;8576309894
als;15.0.1.j9-adpt; -Xjit:count=1;1;0;67407981;951862572;4309311234
als;15.0.1.j9-adpt; -Xjit:count=10;1;0;61449312;885157585;4163229943
als;15.0.1.j9-adpt; -Xjit:count=100;1;0;59231278;852111728;3928331862
als;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;105548348;1453626516;6760637722
als;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;70427062;994965074;4581710378
als;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;90967285;1354334029;7000444847
als;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;228828717;3130460677;15020422547
als;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;284138184;3907492138;18757160112
als;15.0.1-open;default;1;0;47393885;684174337;3010652205
als;15.0.1-open; -XX:-TieredCompilation;1;0;53519596;758834361;3249559369
als;15.0.1-open; -XX:TieredStopAtLevel=1;1;50;14789604;200679726;794744303
als;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;47421409;683109887;2990140233
als;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;47237392;682171568;3014983493
dotty;20.2.0.r11-grl;default;1;0;38589618;551184749;2239349248
dotty;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;42562483;614132437;2682003266
dotty;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;75127986;1030726422;3476945689
dotty;15.0.1.j9-adpt;default;1;0;58023762;822650277;3441802286
